Periodo,Estado,Clave SIINAH,Tipo de sitio,Centro de trabajo,Tipo de visitantes,Nacionalidad,NÃºmero de visitas
01/11/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,25644
01/11/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,111
01/11/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,8192
01/11/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,114
01/11/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,24222
01/11/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,231
01/11/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,10229
01/11/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,5286
01/11/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,34747
01/11/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,34
01/11/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1643
01/11/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,459
01/12/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Boleto pagado,Extranjeros,30494
01/12/1996,Ciudad de México,2100100,Museo,Museo Nacional de AntropologÃ­a,Entrada sin costo,Nacional,84925
01/12/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Boleto pagado,Extranjeros,4496
01/12/1996,Ciudad de México,2100200,Museo,Museo Nacional de Historia,Entrada sin costo,Nacional,62822
01/12/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Boleto pagado,Extranjeros,468
01/12/1996,Ciudad de México,2100300,Museo,Museo Nacional de las Culturas del Mundo,Entrada sin costo,Nacional,16649
01/12/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Boleto pagado,Extranjeros,91
01/12/1996,Ciudad de México,2100400,Museo,Museo Nacional de las Intervenciones,Entrada sin costo,Nacional,4193
01/12/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Boleto pagado,Extranjeros,82
01/12/1996,Ciudad de México,2200100,Museo,GalerÃ­a de Historia,Entrada sin costo,Nacional,12964
01/12/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Boleto pagado,Extranjeros,184
01/12/1996,Ciudad de México,2200200,Museo,Museo de El Carmen,Entrada sin costo,Nacional,6364
01/12/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Boleto pagado,Extranjeros,6213
01/12/1996,Ciudad de México,2500500,Museo,Museo del Templo Mayor,Entrada sin costo,Nacional,22224
01/12/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Boleto pagado,Extranjeros,27
01/12/1996,Ciudad de México,2600100,Museo,Museo Casa Carranza,Entrada sin costo,Nacional,1240
01/12/1996,Ciudad de México,2700100,Museo,"Centro Comunitario CulhuacÃ¡n, Ex Convento de San Juan Evangelista",Entrada sin costo,Nacional,234
